VARNAMES: CID CIDint IDSURVEY TYPE FIELD CUTFLAG_SNANA ERRFLAG_FIT zHEL zHELERR zCMB zCMBERR zHD zHDERR VPEC VPECERR LENSDMU LENSDMUERR MWEBV HOST_NMATCH HOST_NMATCH2 HOST_OBJID HOST_ZPHOT HOST_ZPHOTERR HOST_ZSPEC HOST_ZSPECERR HOST_RA HOST_DEC HOST_ANGSEP HOST_DDLR HOST_CONFUSION HOST_LOGMASS HOST_LOGMASS_ERR HOST_LOGSFR HOST_LOGSFR_ERR HOST_LOGsSFR HOST_LOGsSFR_ERR HOST_COLOR HOST_COLOR_ERR HOST_MAG_g HOST_MAG_i HOST_SBFLUXCAL_g HOST_SBFLUXCAL_i HOST_SBMAG_g HOST_SBMAG_i PKMJDINI SNRMAX1 SNRMAX2 SNRMAX3 SNRSUM BANDLIST PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB RADIUS_POP PROB_SCONE PROB_SNIRFV19 PROB_SNNDESCC PROB_SNNJ17 PROB_SNNV19 CUTMASK MU MUMODEL MUERR MUERR_RENORM MUERR_RAW MUERR_VPEC MURES MUPULL M0DIF M0DIFERR CHI2_BEAMS PROBCC_BEAMS biasCor_nevt biasCor_mu biasCorErr_mu biasCor_muCOVSCALE biasCor_muCOVADD IDSAMPLE IZBIN 
SN: 2008ar 27 65 1 VOID 3 0 0.02617 0.00001 0.02732 0.00001 0.02849 0.00086 -3.42800e+02 250 0 0 3.16567e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 10.30900 0.20000 5.70000e-02 7.08800 -1.02520e+01 7.09082 1.12500 -999 999 999 -999 -999 99 99 54533.3984 83.96670 80.40241 80.40188 646.45435 bcdeiABCD 54535.1367 0.0599 -3.39494e-02 5.56840e-02 -3.78561e-02 9.00607e-03 15.93568 1.15253e-02 7.58103e-03 8.04740e-05 1.12237e-04 -1.70958e-06 -5.47362e-07 129 112.75564 0.84500 0.126693 -9.0 -9.0 -9.0 -9.0 -9.0 0 35.45147 35.47421  0.09884  0.0994  0.0223  0.0645 -0.0572 -0.578  0.0344  0.0105 -0.50 0.000e+00 8723 -0.0588  0.002  1.000 0.0039 0  0 
SN: 2005hc 32 64 1 VOID 3 0 0.04592 0.00002 0.04496 0.00002 0.04575 0.00087 -2.28690e+02 250 0 0 2.81406e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 10.48500 7.60000e-02 0.36300 10.36300 -1.01220e+01 10.36328 1.27600 -999 999 999 -999 -999 99 99 53666.4062 87.46790 87.46789 87.46774 656.40222 bcdehqrst 53668.0859 0.0917 0.90426 6.86578e-02 -3.03776e-02 8.38658e-03 17.04612 9.87886e-03 2.72616e-03 2.48047e-05 9.48624e-05 -3.66524e-07 -1.55131e-07 151 152.03464 0.46106 0.317974 -9.0 -9.0 -9.0 -9.0 -9.0 0 36.69777 36.53545  0.08674  0.0872  0.0222  0.0405  0.1331  1.535  0.0292  0.0136 1.26 0.000e+00 7689 -0.0600  0.002  1.000 0.0041 0  1 
SN: 2006ob 33 64 1 VOID 3 0 0.05860 0.00004 0.05760 0.00004 0.05824 0.00088 -1.79420e+02 250 0 0 2.84791e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 11.18400 8.00000e-02 1.14900 11.14900 -1.00350e+01 11.14929 1.44000 -999 999 999 -999 -999 99 99 54060.1719 76.85869 70.06721 66.88757 313.87640 bcdeiqrst 54063.5156 0.1912 -2.54806e+00 0.20112 -4.64768e-02 1.93702e-02 17.92615 2.20198e-02 1.21211e-03 2.45828e-05 1.76976e-03 -2.37383e-06 -4.01414e-07 93 45.41452 0.99999 0.863368 -9.0 -9.0 -9.0 -9.0 -9.0 0 37.05644 37.07941  0.08448  0.0849  0.0440  0.0320 -0.0521 -0.617  0.0292  0.0136 -0.77 0.000e+00  886 -0.0702  0.005  1.000 0.0029 0  1 
SN: 2006te 37 64 1 VOID 3 0 0.03155 0.00001 0.03212 0.00001 0.03290 0.00086 -2.27180e+02 250 0 0 3.89139e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 10.26000 8.10000e-02 0.61000 6.68100 -9.65000e+00 6.68149 1.08300 -999 999 999 -999 -999 99 99 54100.2578 56.64566 53.78844 42.93058 254.84871 qrst 54097.1055 0.3701 2.20888e-02 0.12154 -5.80793e-02 1.75632e-02 16.28371 2.79155e-02 5.50193e-03 1.41461e-04 -2.69198e-04 4.10839e-06 -2.09505e-06 55 43.49727 0.86850 0.193737 -9.0 -9.0 -9.0 -9.0 -9.0 0 35.86396 35.79589  0.09837  0.0989  0.0408  0.0559  0.0337  0.342  0.0344  0.0105 -0.73 0.000e+00 8723 -0.0502  0.002  1.000 0.0036 0  0 
SN: 2005hj 40 64 1 VOID 3 0 0.05739 0.00001 0.05631 0.00001 0.05708 0.00088 -2.17880e+02 250 0 0 3.33169e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 9.48900 0.14900 -2.16000e-01 9.78400 -9.70500e+00 9.78513 1.09600 -999 999 999 -999 -999 99 99 53673.6602 76.85853 76.85815 76.85813 411.60574 bcdehqrst 53674.9922 0.2391 1.60831 0.14658 1.87608e-03 1.21119e-02 17.46342 1.47494e-02 1.85623e-03 2.52163e-05 5.97867e-04 -5.77458e-07 -2.25249e-07 82 63.40813 0.93645 0.536140 -9.0 -9.0 -9.0 -9.0 -9.0 0 37.07054 37.03384  0.11149  0.1121  0.0307  0.0326  0.0075  0.068  0.0292  0.0136 -0.59 0.000e+00 3679 -0.0313  0.006  1.000 0.0092 0  1 
SN: 2008bz 42 65 1 VOID 3 0 0.06015 0.00001 0.06130 0.00001 0.06099 0.00089 88.72000 250 0 0 2.29118e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 10.47100 9.90000e-02 0.82000 0.94900 -9.65100e+00 0.95415 1.15900 -999 999 999 -999 -999 99 99 54580.7188 87.46760 76.85851 76.85835 413.08978 bcdeiABCD 54579.1328 0.2592 -2.54303e-01 0.13752 -1.36517e-01 1.10722e-02 17.63053 1.53462e-02 1.59143e-03 2.24938e-05 2.95888e-04 7.55913e-07 -1.58378e-07 81 93.02422 0.17019 0.462886 -9.0 -9.0 -9.0 -9.0 -9.0 0 37.36659 37.18137  0.07123  0.0716  0.0288  0.0306  0.1560  2.191  0.0292  0.0136 3.31 0.000e+00 1141 -0.0061  0.004  1.000 0.0021 0  1 
SN: 2003iv 44 63 1 VOID 3 0 0.03426 0.00016 0.03351 0.00016 0.03491 0.00088 -4.05520e+02 250 0 0 0.11791 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 10.98100 0.16300 0.89800 6.73100 -1.00830e+01 6.73297 1.36300 -999 999 999 -999 -999 99 99 52935.3867 67.36102 59.82162 59.82093 183.88844 vwxy 52933.8555 0.5284 -2.34063e+00 0.65937 -7.88429e-02 3.50241e-02 16.76794 4.49949e-02 3.52228e-03 1.45970e-04 1.04859e-02 -2.22688e-05 -3.75237e-06 12 1.63364 0.99979 0.823283 -9.0 -9.0 -9.0 -9.0 -9.0 0 36.01126 35.92935  0.13372  0.1344  0.1022  0.0528  0.0475  0.355  0.0344  0.0105 -0.10 0.000e+00 2700 -0.0465  0.002  1.000 0.0034 0  0 
SN: 2003cq 46 63 1 VOID 3 0 0.03275 0.00002 0.03323 0.00002 0.03378 0.00086 -1.59420e+02 250 0 0 1.73813e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 11.15300 8.00000e-02 1.34300 0.37500 -9.81000e+00 0.38344 0.85200 -999 999 999 -999 -999 99 99 52737.2383 67.36047 63.36853 -99 191.99989 wx 52739.6562 0.2150 -7.09754e-01 0.30873 0.16986 4.76255e-02 16.99236 5.94370e-02 2.86454e-03 1.56815e-04 5.92145e-03 -2.36480e-05 -7.32492e-06 12 21.86639 3.90448e-02 0.613647 -9.0 -9.0 -9.0 -9.0 -9.0 0 35.83146 35.85529  0.18554  0.1865  0.0892  0.0545 -0.0582 -0.314  0.0344  0.0105 0.52 0.000e+00 2378 -0.1492  0.008  1.000 0.0223 0  0 
SN: 2007co 52 64 1 VOID 3 0 0.02696 0.00011 0.02655 0.00011 0.02731 0.00086 -2.21820e+02 250 0 0 9.73433e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 10.40900 0.11100 0.11300 4.79300 -1.02960e+01 4.79429 0.96400 -999 999 999 -999 -999 99 99 54267.4023 89.98067 83.01963 71.88255 562.53595 qrst 54265.0547 0.0832 -1.76365e-01 9.37919e-02 6.91281e-02 1.27675e-02 16.22487 2.30098e-02 5.80835e-03 1.23095e-04 2.91665e-04 -1.69528e-06 -1.21394e-06 97 88.65206 0.71540 0.237808 -9.0 -9.0 -9.0 -9.0 -9.0 0 35.42170 35.38462  0.14424  0.1450  0.0276  0.0672  0.0027  0.018  0.0344  0.0105 -0.08 0.000e+00 1775 -0.1002  0.007  1.000 0.0143 0  0 
SN: 2002he 55 63 1 VOID 3 0 0.02441 0.00008 0.02469 0.00008 0.02519 0.00086 -1.46360e+02 250 0 0 3.40683e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 11.14900 0.37200 -3.59000e-01 9.64100 -1.15080e+01 9.64817 1.62100 -999 999 999 -999 -999 99 99 52583.4648 53.78900 51.20369 51.20343 226.05762 vwxy 52586.0625 0.1743 -1.72533e+00 0.38816 -2.12795e-02 4.15739e-02 16.03608 6.29635e-02 6.91141e-03 4.00803e-04 1.26852e-02 -1.36801e-04 -1.57063e-05 26 4.62016 1 0.579467 -9.0 -9.0 -9.0 -9.0 -9.0 0 35.23294 35.20480  0.12390  0.1246  0.0602  0.0728 -0.0063 -0.051  0.0344  0.0105 -0.38 0.000e+00 2375 -0.0773  0.004  1.000 0.0052 0  0 
SN: 2003fa 56 63 1 VOID 3 0 0.04039 0.00012 0.04015 0.00012 0.04056 0.00088 -1.19780e+02 250 0 0 3.36865e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 10.83300 0.19900 0.53900 5.31400 -1.02940e+01 5.31772 1.05800 -999 999 999 -999 -999 99 99 52801.1875 89.98122 77.05413 67.36068 455.07300 vwxy 52807.4766 0.1055 1.53936 0.14163 -1.15813e-02 1.63642e-02 16.46356 2.01941e-02 4.66205e-03 8.67118e-05 1.08204e-03 -7.28295e-06 -1.22269e-06 63 29.90403 0.99987 0.514570 -9.0 -9.0 -9.0 -9.0 -9.0 0 36.16885 36.26509  0.10114  0.1017  0.0356  0.0455 -0.1307 -1.292  0.0344  0.0105 0.88 0.000e+00 4704 -0.0656  0.003  1.000 0.0056 0  0 
SN: 2005iq 58 64 1 VOID 3 0 0.03404 0.00012 0.03292 0.00012 0.03341 0.00087 -1.41550e+02 250 0 0 1.90066e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 10.49000 8.10000e-02 0.89300 3.37500 -9.59700e+00 3.37597 1.12800 -999 999 999 -999 -999 99 99 53688.2070 90.79455 83.96655 80.40172 655.10120 bcdehqrst 53688.0234 0.0867 -1.07591e+00 0.10368 -1.19034e-01 1.02504e-02 16.49438 1.08417e-02 4.53157e-03 4.52502e-05 3.46022e-04 -1.91895e-06 -3.61052e-07 136 88.93867 0.99938 0.534840 -9.0 -9.0 -9.0 -9.0 -9.0 0 36.04919 35.83427  0.08936  0.0898  0.0266  0.0551  0.1805  2.020  0.0344  0.0105 3.04 0.000e+00 6168 -0.0183  0.002  1.000 0.0030 0  0 
SN: 2005ms 60 64 1 VOID 3 0 0.02522 0.00001 0.02595 0.00001 0.02669 0.00086 -2.17490e+02 250 0 0 2.91768e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 10.33000 0.10300 0.51900 0.29400 -9.81100e+00 0.31152 0.74600 -999 999 999 -999 -999 99 99 53743.4922 89.97938 83.02014 83.01865 378.02448 qrst 53744.0898 0.0952 0.53963 9.80626e-02 -4.08945e-02 1.47145e-02 15.86863 1.81057e-02 8.06399e-03 1.34474e-04 3.16759e-04 -5.62250e-06 -1.65249e-06 39 26.18172 0.94206 0.225693 -9.0 -9.0 -9.0 -9.0 -9.0 0 35.48988 35.33138  0.10528  0.1058  0.0356  0.0687  0.1241  1.179  0.0344  0.0105 0.68 0.000e+00 2088 -0.0580  0.004  1.000 0.0039 0  0 
SN: 2006al 61 64 1 VOID 3 0 0.06780 0.00002 0.06908 0.00002 0.06886 0.00089 60.41000 250 0 0 2.20601e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 10.04900 0.12100 -9.35500e+00 0.64500 -1.94040e+01 0.65625 1.38100 -999 999 999 -999 -999 99 99 53791.3125 41.26123 38.27859 35.69340 134.42422 qrst 53787.0000 0.7280 -1.31528e+00 0.36986 -1.06092e-01 2.92603e-02 18.11778 5.28174e-02 1.01598e-03 4.94241e-05 2.53127e-03 5.12447e-06 -1.19890e-06 28 20.78161 0.83433 0.563276 -9.0 -9.0 -9.0 -9.0 -9.0 0 37.60919 37.45647  0.08104  0.0802  0.0507  0.0272  0.1308  1.613  0.0220  0.0202 1.37 0.000e+00 1968 -0.0360  0.004  1.000 0.0020 0  2 
SN: 2006oa 62 64 1 VOID 3 0 0.06257 0.00001 0.06142 0.00001 0.06153 0.00089 -3.30800e+01 250 0 0 3.48774e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 8.90900 0.46300 -1.25000e-01 0.20500 -9.03400e+00 0.50635 0.67100 -999 999 999 -999 -999 99 99 54062.1055 53.78668 48.85514 48.85500 230.23798 qrst 54067.1719 0.1688 1.45216 0.28952 -3.51007e-03 1.88712e-02 17.62077 2.25083e-02 1.60580e-03 3.32897e-05 3.16019e-03 -6.35244e-06 -5.43769e-07 51 38.18972 0.90757 0.484196 -9.0 -9.0 -9.0 -9.0 -9.0 0 37.22290 37.20518  0.10915  0.1098  0.0470  0.0303 -0.0115 -0.105  0.0292  0.0136 -0.62 0.000e+00 1452 -0.0357  0.006  1.000 0.0075 0  1 
SN: 2008050 2008050 65 1 VOID 3 0 0.04526 0.00020 0.04627 0.00020 0.04625 0.00090 6.39000 250 0 0 2.28029e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 9.61500 7.70000e-02 0.17000 2.14000 -9.44500e+00 2.14138 0.89800 -999 999 999 -999 -999 99 99 54619.1016 43.10297 35.71466 30.76916 145.60510 ABCD 54621.0117 0.4170 1.81103 0.39046 8.40373e-02 3.25288e-02 16.93262 3.97561e-02 3.02657e-03 1.10823e-04 6.33502e-03 -1.84496e-05 -3.22988e-06 42 33.91864 0.80828 0.665504 -9.0 -9.0 -9.0 -9.0 -9.0 0 36.31584 36.55743  0.17073  0.1717  0.0679  0.0400 -0.2708 -1.586  0.0292  0.0136 2.77 0.000e+00  621 -0.0315  0.012  1.000 0.0217 0  1 
SN: 2005ir 65 64 1 VOID 3 0 0.07603 0.00001 0.07490 0.00001 0.07520 0.00090 -8.38600e+01 250 0 0 2.62922e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 10.08300 9.90000e-02 0.37800 0.77100 -9.70500e+00 0.77733 0.78000 -999 999 999 -999 -999 99 99 53687.6406 66.88750 61.03592 55.86762 344.04651 bcdehqrst 53685.3086 0.2291 1.20245 0.17340 -4.08422e-03 1.24398e-02 18.15592 1.32611e-02 9.80921e-04 1.19809e-05 1.04854e-03 -7.14325e-07 -1.03279e-07 75 96.46564 4.82490e-02 0.401049 -9.0 -9.0 -9.0 -9.0 -9.0 0 37.78693 37.66112  0.07524  0.0745  0.0318  0.0250  0.1039  1.380  0.0220  0.0202 0.53 0.000e+00 2867 -0.0717  0.005  1.000 0.0028 0  2 
SN: 2008cf 66 65 1 VOID 3 0 0.04603 0.00009 0.04692 0.00009 0.04682 0.00088 29.57000 250 0 0 5.75987e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 9.15100 4.40000e-02 0.94800 0.15500 -8.20300e+00 0.16112 0.21000 -999 999 999 -999 -999 99 99 54595.7695 90.79462 90.79459 90.79449 485.10919 bcdeiABCD 54595.2500 0.2931 1.27754 0.12438 -1.00803e-01 1.11829e-02 16.73504 1.71175e-02 3.63063e-03 5.72399e-05 1.77211e-04 -1.02110e-06 -4.06401e-07 71 48.92721 0.97889 0.542446 -9.0 -9.0 -9.0 -9.0 -9.0 0 36.57974 36.58533  0.09397  0.0945  0.0336  0.0396 -0.0348 -0.370  0.0292  0.0136 -0.80 0.000e+00 2567 -0.0018  0.003  1.000 0.0049 0  1 
SN: 2005lz 69 64 1 VOID 3 0 0.04624 0.00014 0.04541 0.00014 0.04643 0.00088 -2.92460e+02 250 0 0 7.72451e-02 1 1 0 -9 -9 -9 -9 -999 -999 -9 -9 -9 11.03800 0.26400 -10 0 -2.10380e+01 0.26400 1.46800 -999 999 999 -999 -999 99 99 53737.2812 59.81836 56.64277 51.20479 190.81497 qrst 53736.2617 0.1942 -1.40505e+00 0.24021 3.91297e-02 2.14070e-02 17.35717 2.90629e-02 2.04706e-03 5.47955e-05 1.46727e-03 -5.06813e-06 -9.62772e-07 44 23.60094 0.99496 0.486174 -9.0 -9.0 -9.0 -9.0 -9.0 0 36.44687 36.56781  0.12246  0.1231  0.0562  0.0399 -0.1501 -1.226  0.0292  0.0136 1.10 0.000e+00 5480 -0.1060  0.003  1.000 0.0090 0  1 
