CID,CIDint,IDSURVEY,TYPE,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_COLOR,HOST_COLOR_ERR,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,mB_corr,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITPROB,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,MU,MUERR_FINAL,PROBCC_BEAMS,biasCor_mu,biasCor_muCOVSCALE,biasCor_muCOVADD
1249483,1249483,10,0,0.28398,0.00100,0.28303,0.00100,0.28303,0.00163,0.00,300.00,0.03,0.284,0.001,40.632172,-0.8426620000000001,0.197,0.12,10.96,0.07,1.23,-999.00,56540.8594,0.3104,0.0052,0.2470,-0.0555,0.0159,21.1214,0.0188,21.3299,6.3890E-05,1.1055E-06,0.0008,-0.0000,-0.0000,42,0.1834,0.9756,0.9738,1.0000,0.9999,1.0000,40.6531,0.1093,0.0000,-0.0157,1.0000,0.0065
1249758,1249758,10,0,0.62198,0.00100,0.62139,0.00100,0.62139,0.00191,0.00,300.00,0.01,0.622,0.001,54.792232999999996,-26.719913000000002,0.226,0.31,9.83,0.01,-0.19,-999.00,56556.6992,0.7837,2.5902,0.7562,0.0087,0.0516,23.3594,0.0613,23.6123,8.1327E-06,4.5886E-07,0.0119,-0.0000,-0.0000,47,0.2101,0.0001,0.6501,0.0000,0.0012,0.0000,42.9355,161.7507,1.0000,0.1179,0.6620,0.0000
1249851,1249851,10,1,0.21552,0.00100,0.21511,0.00100,0.21511,0.00157,0.00,300.00,0.01,0.2155,0.001,55.218509999999995,-29.400743,3.122,1.72,11.06,0.09,1.52,-999.00,56550.8555,0.2127,-1.2534,0.1570,-0.1271,0.0196,20.6844,0.0259,20.8674,9.5550E-05,2.2836E-06,0.0009,-0.0000,-0.0000,41,0.0505,0.9912,0.9197,1.0000,1.0000,1.0000,40.1906,0.0925,0.0000,0.0306,1.0000,0.0038
1249956,1249956,10,0,0.44737,0.00100,0.44628,0.00100,0.44628,0.00176,0.00,300.00,0.00,0.4474,0.001,6.984831,-42.443740999999996,0.081,0.09,10.90,0.04,1.41,-999.00,56548.8555,0.7354,-0.5066,0.7950,0.1133,0.0771,23.2341,0.0880,23.0326,9.1277E-06,7.4000E-07,0.0146,-0.0000,-0.0000,38,0.2083,0.9969,0.8225,0.9996,0.9995,1.0000,42.3558,0.2478,0.0000,-0.2144,1.0000,0.0076
1249970,1249970,10,0,0.26866,0.00100,0.26775,0.00100,0.26775,0.00162,0.00,300.00,0.01,0.2687,0.001,10.491352000000001,-43.734089000000004,0.376,0.50,8.91,0.04,0.32,-999.00,56553.8906,0.2289,-0.5898,0.2436,0.0206,0.0256,21.7198,0.0366,21.5782,3.6821E-05,1.2427E-06,0.0021,-0.0000,-0.0000,44,0.6388,0.9998,0.9950,0.9999,0.9998,1.0000,40.9014,0.1593,0.0000,-0.0364,1.0000,0.0181
1250017,1250017,10,1,0.18299,0.00100,0.18216,0.00100,0.18216,0.00155,0.00,300.00,0.05,0.183,0.001,43.193951,-0.127654,0.998,1.01,8.85,0.02,0.47,-999.00,56553.8789,0.1613,1.0693,0.1791,-0.1104,0.0165,20.0444,0.0253,20.5162,1.7228E-04,4.0208E-06,0.0007,-0.0000,-0.0000,42,0.5454,0.9999,0.9316,1.0000,1.0000,1.0000,39.8394,0.0937,0.0000,0.0258,1.0000,0.0040
1250034,1250034,10,0,0.16167,0.00100,0.16085,0.00100,0.16085,0.00153,0.00,300.00,0.05,0.1617,0.001,43.029522,-0.414962,1.162,0.66,10.49,0.01,0.98,-999.00,56556.4531,0.1608,-0.4030,0.1494,0.0086,0.0183,20.1196,0.0279,20.1068,1.6075E-04,4.1246E-06,0.0009,-0.0000,-0.0000,39,0.4938,0.9940,0.9843,1.0000,1.0000,1.0000,39.4300,0.1073,0.0000,-0.0598,1.0000,0.0073
1250120,1250120,10,0,0.69207,0.00100,0.69088,0.00100,0.69088,0.00197,0.00,300.00,0.05,0.6921,0.001,42.918289,-0.236999,0.201,0.34,10.37,0.02,1.40,-999.00,56549.9141,1.0406,0.0700,0.8351,-0.0087,0.0659,23.4601,0.0660,23.7826,7.4122E-06,4.5042E-07,0.0172,-0.0000,-0.0000,47,0.8597,0.9682,0.9800,0.9995,0.9996,0.9985,43.1058,0.1208,0.0000,-0.2652,0.2540,0.0000
1250275,1250275,10,0,0.38423,0.00100,0.38323,0.00100,0.38323,0.00171,0.00,300.00,0.03,0.3842,0.001,41.6134,-1.613912,0.41,0.52,10.31,0.02,1.42,-999.00,56556.1953,0.3614,0.0085,0.3634,0.1123,0.0422,22.2396,0.0541,22.0481,2.2813E-05,1.1378E-06,0.0052,-0.0000,-0.0000,37,0.6863,0.9976,0.9625,1.0000,0.9998,1.0000,41.3713,0.1726,0.0000,-0.1383,1.0000,0.0158
1250279,1250279,10,0,0.27476,0.00100,0.27382,0.00100,0.27382,0.00162,0.00,300.00,0.03,0.2748,0.001,41.089642,-1.4660440000000001,3.516,2.35,10.75,0.05,1.19,-999.00,56537.7930,0.4730,-0.0391,0.2199,-0.0529,0.0173,20.9375,0.0202,21.1333,7.5684E-05,1.4082E-06,0.0006,-0.0000,-0.0000,32,0.1130,0.9812,0.9807,0.9996,0.9999,1.0000,40.4565,0.1066,0.0000,-0.0185,1.0000,0.0062
1250357,1250357,10,0,0.35941,0.00100,0.35843,0.00100,0.35843,0.00169,0.00,300.00,0.03,0.3594,0.001,41.880802,-0.616166,1.78,1.48,10.72,0.06,1.22,-999.00,56552.8164,0.2891,-0.9141,0.3086,-0.0290,0.0266,22.1955,0.0385,22.2135,2.3757E-05,8.4271E-07,0.0029,-0.0000,-0.0000,50,0.8705,0.9886,1.0000,0.9971,0.9999,1.0000,41.5367,0.1243,0.0000,-0.0557,1.0000,0.0060
1250397,1250397,10,0,0.64442,0.00100,0.64305,0.00100,0.64304,0.00192,0.00,300.00,0.02,0.6444,0.001,33.929947,-5.449883,1.042,1.14,10.19,0.01,0.52,-999.00,56551.0273,0.7418,-0.2227,0.5900,-0.0115,0.0599,23.2967,0.0586,23.5283,8.6162E-06,4.6532E-07,0.0041,-0.0000,-0.0000,37,0.0845,0.9988,1.0000,1.0000,0.9997,0.9993,42.8515,0.1266,0.0000,-0.2127,0.3290,0.0000
1250435,1250435,10,0,0.49418,0.00100,0.49292,0.00100,0.49292,0.00180,0.00,300.00,0.02,0.4942,0.001,33.790543,-4.626537,0.94,1.33,9.96,0.02,0.98,-999.00,56554.3672,0.4319,-0.6077,0.4397,-0.0039,0.0473,22.7602,0.0523,22.7954,1.4123E-05,6.7973E-07,0.0029,-0.0000,-0.0000,40,0.1587,0.9932,0.9833,0.9999,0.9997,0.9999,42.1186,0.1564,0.0000,-0.1396,0.9750,0.0000
1250454,1250454,10,0,0.78880,0.00100,0.78734,0.00100,0.78734,0.00205,0.00,300.00,0.02,0.7888,0.001,35.299831,-4.535553,0.167,0.23,10.55,0.04,1.08,-999.00,56551.9180,1.1267,0.5883,0.9153,-0.1385,0.0722,23.6963,0.0792,24.2587,5.9634E-06,4.3523E-07,0.0026,-0.0000,0.0000,43,0.6416,0.9915,0.9617,0.9999,0.9972,0.9996,43.5819,0.1349,0.0000,-0.0173,0.1750,0.0000
1250532,1250532,10,0,0.52893,0.00100,0.52770,0.00100,0.52770,0.00183,0.00,300.00,0.02,0.5289,0.001,35.564728,-6.959774,0.154,0.15,9.45,0.02,0.28,-999.00,56548.3672,0.8948,1.1225,0.6802,-0.0449,0.0571,23.0901,0.0591,23.3438,1.0422E-05,5.6692E-07,0.0075,-0.0000,-0.0000,38,0.9151,0.9982,0.9013,0.9996,0.9997,0.9999,42.6670,0.1823,0.0000,0.0482,0.8340,0.0000
1250578,1250578,10,0,0.27962,0.00100,0.27860,0.00100,0.27860,0.00162,0.00,300.00,0.03,0.2796,0.001,36.104099,-6.996303999999999,0.597,0.71,10.21,0.01,0.82,-999.00,56546.3594,0.4290,0.4235,0.3433,0.2364,0.0257,22.0575,0.0332,21.4718,2.6976E-05,8.2610E-07,0.0021,-0.0000,-0.0000,41,0.0011,0.8777,0.5363,0.9451,0.6928,0.9855,40.7950,0.2017,0.0001,-0.0643,1.0000,0.0320
1250665,1250665,10,0,0.29564,0.00100,0.29461,0.00100,0.29461,0.00164,0.00,300.00,0.02,0.2956,0.001,36.7132,-4.498739,0.2,0.22,10.07,0.01,1.30,-999.00,56553.9414,0.2446,-2.6347,0.2764,0.0710,0.0363,22.1616,0.0463,21.5719,2.4511E-05,1.0445E-06,0.0038,-0.0000,-0.0000,27,0.2256,0.9544,0.8665,0.9996,0.9966,0.9999,40.8951,0.1769,0.0000,-0.0369,1.0000,0.0216
1250803,1250803,10,0,0.96406,0.00100,0.96329,0.00100,0.96329,0.00220,0.00,300.00,0.01,0.9641,0.001,52.946404,-27.84753,0.764,0.80,11.49,0.07,1.65,-999.00,56556.9141,1.1460,-0.9778,0.7236,0.0147,0.1435,24.7001,0.0697,24.8009,2.3657E-06,1.5190E-07,0.0093,-0.0000,0.0000,34,0.6870,0.6657,0.9573,0.9992,0.9989,0.9838,44.1241,0.2170,0.0005,-0.2852,0.1980,0.0000
